field_set,fields,n_queries_evaluated,k,map
all,Last location;Other_descriptions;arm color;diameter_cm;disk color;madreporite_descriptions;num_apparent_arms;num_arms;reticulation_descriptions;rosette_descriptions;sex;short_arm_codes;stripe_descriptions;volume_ml,61,1,0.016393
all,Last location;Other_descriptions;arm color;diameter_cm;disk color;madreporite_descriptions;num_apparent_arms;num_arms;reticulation_descriptions;rosette_descriptions;sex;short_arm_codes;stripe_descriptions;volume_ml,61,5,0.093989
all,Last location;Other_descriptions;arm color;diameter_cm;disk color;madreporite_descriptions;num_apparent_arms;num_arms;reticulation_descriptions;rosette_descriptions;sex;short_arm_codes;stripe_descriptions;volume_ml,61,10,0.122060
all,Last location;Other_descriptions;arm color;diameter_cm;disk color;madreporite_descriptions;num_apparent_arms;num_arms;reticulation_descriptions;rosette_descriptions;sex;short_arm_codes;stripe_descriptions;volume_ml,61,20,0.143863
all,Last location;Other_descriptions;arm color;diameter_cm;disk color;madreporite_descriptions;num_apparent_arms;num_arms;reticulation_descriptions;rosette_descriptions;sex;short_arm_codes;stripe_descriptions;volume_ml,61,50,0.151860
categorical+codes,arm color;disk color;sex;short_arm_codes,61,1,0.049180
categorical+codes,arm color;disk color;sex;short_arm_codes,61,5,0.080328
categorical+codes,arm color;disk color;sex;short_arm_codes,61,10,0.100241
categorical+codes,arm color;disk color;sex;short_arm_codes,61,20,0.122038
categorical+codes,arm color;disk color;sex;short_arm_codes,61,50,0.131076
categorical+codes+text,Last location;Other_descriptions;arm color;disk color;madreporite_descriptions;reticulation_descriptions;rosette_descriptions;sex;short_arm_codes;stripe_descriptions,61,1,0.016393
categorical+codes+text,Last location;Other_descriptions;arm color;disk color;madreporite_descriptions;reticulation_descriptions;rosette_descriptions;sex;short_arm_codes;stripe_descriptions,61,5,0.113934
categorical+codes+text,Last location;Other_descriptions;arm color;disk color;madreporite_descriptions;reticulation_descriptions;rosette_descriptions;sex;short_arm_codes;stripe_descriptions,61,10,0.125202
categorical+codes+text,Last location;Other_descriptions;arm color;disk color;madreporite_descriptions;reticulation_descriptions;rosette_descriptions;sex;short_arm_codes;stripe_descriptions,61,20,0.138790
categorical+codes+text,Last location;Other_descriptions;arm color;disk color;madreporite_descriptions;reticulation_descriptions;rosette_descriptions;sex;short_arm_codes;stripe_descriptions,61,50,0.155557
categorical+text,Last location;Other_descriptions;arm color;disk color;madreporite_descriptions;reticulation_descriptions;rosette_descriptions;sex;stripe_descriptions,61,1,0.016393
categorical+text,Last location;Other_descriptions;arm color;disk color;madreporite_descriptions;reticulation_descriptions;rosette_descriptions;sex;stripe_descriptions,61,5,0.113934
categorical+text,Last location;Other_descriptions;arm color;disk color;madreporite_descriptions;reticulation_descriptions;rosette_descriptions;sex;stripe_descriptions,61,10,0.125202
categorical+text,Last location;Other_descriptions;arm color;disk color;madreporite_descriptions;reticulation_descriptions;rosette_descriptions;sex;stripe_descriptions,61,20,0.138790
categorical+text,Last location;Other_descriptions;arm color;disk color;madreporite_descriptions;reticulation_descriptions;rosette_descriptions;sex;stripe_descriptions,61,50,0.155557
categorical_only,arm color;disk color;sex,61,1,0.049180
categorical_only,arm color;disk color;sex,61,5,0.080328
categorical_only,arm color;disk color;sex,61,10,0.100241
categorical_only,arm color;disk color;sex,61,20,0.122038
categorical_only,arm color;disk color;sex,61,50,0.131076
