kind,name,size,fields,n_valid_queries,selection_k,selection_map,mAP@1,mAP@5,mAP@10,mAP@20,mAP@50
single,Last location,1,Last location,30,50,0.2177777382576144,0.1,0.1527777777777778,0.18642857142857144,0.2177777382576144,0.2177777382576144
single,Other_descriptions,1,Other_descriptions,2,50,0.21666666666666667,0.0,0.16666666666666666,0.21666666666666667,0.21666666666666667,0.21666666666666667
single,rosette_descriptions,1,rosette_descriptions,55,50,0.191668567278421,0.09090909090909091,0.1296969696969697,0.15514790764790765,0.18745050216693893,0.191668567278421
single,reticulation_descriptions,1,reticulation_descriptions,42,50,0.1447065175332027,0.023809523809523808,0.0873015873015873,0.11316137566137566,0.13269879722223815,0.1447065175332027
single,stripe_descriptions,1,stripe_descriptions,17,50,0.1301405208369904,0.0,0.08333333333333333,0.10154061624649859,0.11182242035570207,0.1301405208369904
single,madreporite_descriptions,1,madreporite_descriptions,42,50,0.11892163038815634,0.023809523809523808,0.0642857142857143,0.07932728647014362,0.10752318583753795,0.11892163038815634
combo_2,Last location+Other_descriptions,2,Last location + Other_descriptions,34,50,0.16439689254067316,0.08823529411764706,0.10882352941176471,0.1125,0.1601952118684043,0.16439689254067316
combo_2,Last location+rosette_descriptions,2,Last location + rosette_descriptions,61,50,0.18645517260098413,0.08196721311475409,0.12568306010928962,0.16386937288576633,0.16799356354563683,0.18645517260098413
combo_2,Last location+reticulation_descriptions,2,Last location + reticulation_descriptions,61,50,0.128505926061056,0.03278688524590164,0.07568306010928962,0.0890905542544887,0.11501715730005836,0.128505926061056
combo_2,Other_descriptions+rosette_descriptions,2,Other_descriptions + rosette_descriptions,55,50,0.20604392077690978,0.09090909090909091,0.14303030303030304,0.1734776334776334,0.2028928973581379,0.20604392077690978
combo_2,Other_descriptions+reticulation_descriptions,2,Other_descriptions + reticulation_descriptions,42,50,0.17239620849244555,0.023809523809523808,0.12738095238095237,0.1435090702947846,0.16073419409885575,0.17239620849244555
combo_2,rosette_descriptions+reticulation_descriptions,2,rosette_descriptions + reticulation_descriptions,55,50,0.19749308592981013,0.09090909090909091,0.1463636363636364,0.16038961038961036,0.19392742315694744,0.19749308592981013
combo_3,Last location+Other_descriptions+rosette_descriptions,3,Last location + Other_descriptions + rosette_descriptions,61,50,0.1919949486335772,0.09836065573770492,0.13852459016393442,0.16243169398907098,0.17531413459571604,0.1919949486335772
combo_3,Last location+Other_descriptions+reticulation_descriptions,3,Last location + Other_descriptions + reticulation_descriptions,61,50,0.10565024709391074,0.03278688524590164,0.03825136612021858,0.06426945094977882,0.09376839507974355,0.10565024709391074
combo_3,Last location+rosette_descriptions+reticulation_descriptions,3,Last location + rosette_descriptions + reticulation_descriptions,61,50,0.1900858265575926,0.09836065573770492,0.1366120218579235,0.1597384855581577,0.17755296565249362,0.1900858265575926
combo_3,Other_descriptions+rosette_descriptions+reticulation_descriptions,3,Other_descriptions + rosette_descriptions + reticulation_descriptions,55,50,0.21468965935863502,0.09090909090909091,0.1624242424242424,0.18030303030303022,0.21077178349061257,0.21468965935863502
combo_4,Last location+Other_descriptions+rosette_descriptions+reticulation_descriptions,4,Last location + Other_descriptions + rosette_descriptions + reticulation_descriptions,61,50,0.18483521046837253,0.09836065573770492,0.12459016393442623,0.1571558678116055,0.17222843277505,0.18483521046837253
