dataset_source,total_images,unique_identities,train_images,test_images,train_pct,avg_images_per_identity,std_images_per_identity,min_images_per_identity,max_images_per_identity,negative_only_identities,negative_only_images
lab_stars_pycno_deployment,3579,46,2383,1196,66.58284436993573,77.80434782608695,56.86343076577516,32,281,29,1396
PWS_2023,1503,126,1503,0,100.0,11.928571428571429,4.363812225893451,4,22,126,1503
wild_stars_cama_beach_pycno_pre_deployment,957,47,957,0,100.0,20.361702127659573,5.435093423119685,12,36,47,957
FHL_EAGLE_PT_PYCNOS,866,36,695,171,80.2540415704388,24.055555555555557,13.979463395473978,7,57,14,174
ADULT_FHL_STARS,489,27,330,159,67.48466257668711,18.11111111111111,37.7179138558991,2,158,20,55
Hakai_controls_time_sorted,437,16,347,90,79.40503432494279,27.3125,4.686416541452541,18,35,0,0
WILD_STARS_FHL_DOCK,197,4,146,51,74.11167512690355,49.25,23.02715787933891,18,72,0,0
SeaLifeCenter,151,42,151,0,100.0,3.5952380952380953,2.2745626629709825,1,10,42,151
HodinLab_2023_BroodInResidence,144,10,133,11,92.36111111111111,14.4,4.550946177566937,10,24,6,70
HodinLab_2019-2020_Brood_In_Residence,142,12,142,0,100.0,11.833333333333334,5.812734192088847,6,27,12,142
SOUTHSIDE_EAGLE_COVE,132,2,132,0,100.0,66.0,45.254833995939045,34,98,2,132
HodinLab_2021_Brood_In_Residence,71,15,25,46,35.2112676056338,4.733333333333333,3.936399128040511,1,18,4,10
SNUG_HARBOR,66,2,66,0,100.0,33.0,1.4142135623730951,32,34,2,66
BROWN_ISLAND_AUG92023_DRIFT_DIVE,19,1,19,0,100.0,19.0,,19,19,1,19
REUBEN_TARTE,19,1,19,0,100.0,19.0,,19,19,1,19
DRIFTWOOD_PARK,12,1,12,0,100.0,12.0,,12,12,1,12
HodinLab_2022_Brood_In_Residence,11,4,11,0,100.0,2.75,0.9574271077563381,2,4,4,11
SJC_PARK,10,1,10,0,100.0,10.0,,10,10,1,10
